method,generation,samples,fitness_mean,fitness_std,fitness_min,fitness_max,fitness_count,best_so_far_mean,best_so_far_std,best_so_far_min,best_so_far_max,fitness_ci_lower,fitness_ci_upper,best_ci_lower,best_ci_upper
random_search,15,32000,-3.5029,0.9535,-5.302,-1.553,50,-3.5029,0.9535,-5.302,-1.553,-3.7671967158176582,-3.2386032841823416,-3.7671967158176582,-3.2386032841823416
random_search,16,34000,-3.4969,0.948,-5.302,-1.553,50,-3.4969,0.948,-5.302,-1.553,-3.75967219359742,-3.2341278064025802,-3.75967219359742,-3.2341278064025802
random_search,17,36000,-3.4969,0.948,-5.302,-1.553,50,-3.4969,0.948,-5.302,-1.553,-3.75967219359742,-3.2341278064025802,-3.75967219359742,-3.2341278064025802
random_search,18,38000,-3.4879,0.9326,-5.302,-1.553,50,-3.4879,0.9326,-5.302,-1.553,-3.7464035313807527,-3.229396468619247,-3.7464035313807527,-3.229396468619247
random_search,19,40000,-3.4339,0.9096,-5.302,-1.553,50,-3.4339,0.9096,-5.302,-1.553,-3.686028256641575,-3.181771743358425,-3.686028256641575,-3.181771743358425
random_search,20,42000,-3.3679,0.9195,-5.302,-1.553,50,-3.3679,0.9195,-5.302,-1.553,-3.622772396638004,-3.113027603361996,-3.622772396638004,-3.113027603361996
random_search,21,44000,-3.3679,0.9195,-5.302,-1.553,50,-3.3679,0.9195,-5.302,-1.553,-3.622772396638004,-3.113027603361996,-3.622772396638004,-3.113027603361996
random_search,22,46000,-3.2948,0.9054,-5.003,-1.553,50,-3.2948,0.9054,-5.003,-1.553,-3.5457640760370297,-3.04383592396297,-3.5457640760370297,-3.04383592396297
random_search,23,48000,-3.292,0.9027,-5.003,-1.553,50,-3.292,0.9027,-5.003,-1.553,-3.5422156742198214,-3.041784325780178,-3.5422156742198214,-3.041784325780178
random_search,24,50000,-3.262,0.9203,-5.003,-1.553,50,-3.262,0.9203,-5.003,-1.553,-3.517094145324584,-3.006905854675416,-3.517094145324584,-3.006905854675416
random_search,25,52000,-3.1489,1.0051,-5.003,-0.504,50,-3.1489,1.0051,-5.003,-0.504,-3.4274995061020745,-2.870300493897925,-3.4274995061020745,-2.870300493897925
random_search,26,54000,-3.134,1.0025,-5.003,-0.504,50,-3.134,1.0025,-5.003,-0.504,-3.4118788228706896,-2.8561211771293102,-3.4118788228706896,-2.8561211771293102
random_search,27,56000,-3.1209,1.0045,-5.003,-0.504,50,-3.1209,1.0045,-5.003,-0.504,-3.3993331945871397,-2.84246680541286,-3.3993331945871397,-2.84246680541286
random_search,28,58000,-3.0448,1.0061,-5.003,-0.504,50,-3.0448,1.0061,-5.003,-0.504,-3.3236766919603,-2.7659233080397,-3.3236766919603,-2.7659233080397
random_search,29,60000,-3.0448,1.0061,-5.002,-0.504,50,-3.0448,1.0061,-5.002,-0.504,-3.3236766919603,-2.7659233080397,-3.3236766919603,-2.7659233080397
random_search,30,62000,-2.9858,0.9232,-5.002,-0.504,50,-2.9858,0.9232,-5.002,-0.504,-3.241697984313437,-2.7299020156865628,-3.241697984313437,-2.7299020156865628
random_search,31,64000,-2.9466,0.9019,-5.002,-0.504,50,-2.9466,0.9019,-5.002,-0.504,-3.1965939255332416,-2.6966060744667586,-3.1965939255332416,-2.6966060744667586
random_search,32,66000,-2.9406,0.8889,-4.952,-0.504,50,-2.9406,0.8889,-4.952,-0.504,-3.186990509376315,-2.6942094906236846,-3.186990509376315,-2.6942094906236846
